epoch,f1_score,loss,val_f1_score,val_loss
0,0.25653356313705444,1.3900015354156494,0.29209408164024353,1.1979081630706787
0,0.22856669127941132,1.436547875404358,0.20777221024036407,1.2996183633804321
0,0.2486906349658966,1.4107215404510498,0.37809091806411743,1.2598395347595215
1,0.5109745264053345,0.8689466118812561,0.6060866117477417,0.6542829275131226
2,0.7323793172836304,0.23594389855861664,0.6853103637695312,0.43437016010284424
3,0.7866630554199219,0.06044653058052063,0.704001784324646,0.45653679966926575
4,0.7966073155403137,0.016489388421177864,0.6997473239898682,0.5014054179191589
5,0.800000011920929,0.0019335350953042507,0.6969977617263794,0.5545375943183899
0,0.22094058990478516,1.4530047178268433,0.24980401992797852,1.312563180923462
1,0.46502599120140076,1.0150420665740967,0.584078848361969,0.7232984304428101
2,0.7174904346466064,0.2999378442764282,0.6761478781700134,0.4674338400363922
3,0.7909356355667114,0.0483916737139225,0.7033612132072449,0.4584963321685791
4,0.7994783520698547,0.006306853145360947,0.7044227123260498,0.5354715585708618
5,0.800000011920929,0.0014622359303757548,0.705787181854248,0.5541965365409851
6,0.800000011920929,0.000685609586071223,0.7017730474472046,0.5702170729637146
7,0.800000011920929,0.0004380306927487254,0.7039831280708313,0.5867857933044434
